station_id,city,heading,hour,is_weekend,share,n_obs,mean_total_veh_h,hw_rank,speed_kmh,lanes,oneway,dist_centre_km,radial_cos,res_behind_km,res_ahead_km,res_asym,major_behind_km,major_ahead_km,major_asym,am_pm_ratio,peak_hour_am,peak_hour_pm,weekend_ratio
06970V72811,trondheim,Oppdal,11,1,0.4885,8,2404.2,1.0,80.0,3.0,1.0,4.3360578139326025,-0.9000837914668061,9.91,18.689,-0.3069,5.142,4.998,0.0142,0.8958,7.0,15.0,0.2462
06970V72811,trondheim,Oppdal,12,0,0.5075,20,3442.1,1.0,80.0,3.0,1.0,4.3360578139326025,-0.9000837914668061,9.91,18.689,-0.3069,5.142,4.998,0.0142,0.8958,7.0,15.0,0.2462
06970V72811,trondheim,Oppdal,12,1,0.4674,8,2705.0,1.0,80.0,3.0,1.0,4.3360578139326025,-0.9000837914668061,9.91,18.689,-0.3069,5.142,4.998,0.0142,0.8958,7.0,15.0,0.2462
06970V72811,trondheim,Oppdal,13,0,0.5226,20,3754.9,1.0,80.0,3.0,1.0,4.3360578139326025,-0.9000837914668061,9.91,18.689,-0.3069,5.142,4.998,0.0142,0.8958,7.0,15.0,0.2462
06970V72811,trondheim,Oppdal,13,1,0.4793,8,2898.1,1.0,80.0,3.0,1.0,4.3360578139326025,-0.9000837914668061,9.91,18.689,-0.3069,5.142,4.998,0.0142,0.8958,7.0,15.0,0.2462
06970V72811,trondheim,Oppdal,14,0,0.5519,20,4417.8,1.0,80.0,3.0,1.0,4.3360578139326025,-0.9000837914668061,9.91,18.689,-0.3069,5.142,4.998,0.0142,0.8958,7.0,15.0,0.2462
06970V72811,trondheim,Oppdal,14,1,0.4793,8,3025.4,1.0,80.0,3.0,1.0,4.3360578139326025,-0.9000837914668061,9.91,18.689,-0.3069,5.142,4.998,0.0142,0.8958,7.0,15.0,0.2462
06970V72811,trondheim,Oppdal,15,0,0.581,20,5929.9,1.0,80.0,3.0,1.0,4.3360578139326025,-0.9000837914668061,9.91,18.689,-0.3069,5.142,4.998,0.0142,0.8958,7.0,15.0,0.2462
06970V72811,trondheim,Oppdal,15,1,0.496,8,3105.8,1.0,80.0,3.0,1.0,4.3360578139326025,-0.9000837914668061,9.91,18.689,-0.3069,5.142,4.998,0.0142,0.8958,7.0,15.0,0.2462
06970V72811,trondheim,Oppdal,16,0,0.5468,20,4655.1,1.0,80.0,3.0,1.0,4.3360578139326025,-0.9000837914668061,9.91,18.689,-0.3069,5.142,4.998,0.0142,0.8958,7.0,15.0,0.2462
06970V72811,trondheim,Oppdal,16,1,0.5157,8,2983.5,1.0,80.0,3.0,1.0,4.3360578139326025,-0.9000837914668061,9.91,18.689,-0.3069,5.142,4.998,0.0142,0.8958,7.0,15.0,0.2462
06970V72811,trondheim,Oppdal,17,0,0.5151,20,3362.3,1.0,80.0,3.0,1.0,4.3360578139326025,-0.9000837914668061,9.91,18.689,-0.3069,5.142,4.998,0.0142,0.8958,7.0,15.0,0.2462
06970V72811,trondheim,Oppdal,17,1,0.502,8,2755.1,1.0,80.0,3.0,1.0,4.3360578139326025,-0.9000837914668061,9.91,18.689,-0.3069,5.142,4.998,0.0142,0.8958,7.0,15.0,0.2462
06970V72811,trondheim,Oppdal,18,0,0.5158,20,2931.2,1.0,80.0,3.0,1.0,4.3360578139326025,-0.9000837914668061,9.91,18.689,-0.3069,5.142,4.998,0.0142,0.8958,7.0,15.0,0.2462
06970V72811,trondheim,Oppdal,18,1,0.4743,8,2511.8,1.0,80.0,3.0,1.0,4.3360578139326025,-0.9000837914668061,9.91,18.689,-0.3069,5.142,4.998,0.0142,0.8958,7.0,15.0,0.2462
06970V72811,trondheim,Oppdal,19,0,0.5113,20,2475.0,1.0,80.0,3.0,1.0,4.3360578139326025,-0.9000837914668061,9.91,18.689,-0.3069,5.142,4.998,0.0142,0.8958,7.0,15.0,0.2462
06970V72811,trondheim,Oppdal,19,1,0.4715,8,2125.4,1.0,80.0,3.0,1.0,4.3360578139326025,-0.9000837914668061,9.91,18.689,-0.3069,5.142,4.998,0.0142,0.8958,7.0,15.0,0.2462
06970V72811,trondheim,Oppdal,20,0,0.5189,20,2122.4,1.0,80.0,3.0,1.0,4.3360578139326025,-0.9000837914668061,9.91,18.689,-0.3069,5.142,4.998,0.0142,0.8958,7.0,15.0,0.2462
